level	pattern	english	note	ja1	en1	ja2	en2
n2	動詞ない限り	unless; as long as not	A necessary condition for changing the result is expressed in the negative clause.	雨が降らない限り、出発します。	We will depart unless it rains.	本人が来ない限り、手続きはできません。	The procedure cannot be completed unless the person comes in person.
n2	動詞つつある	be in the process of changing	Formal written description of ongoing change; not a general replacement for every progressive.	人口は減りつつあります。	The population is declining.	状況は改善しつつあります。	The situation is improving.
n2	動詞つつ	while; although doing	Attach to the verb stem; the concessive reading highlights conflict between awareness and conduct.	将来を考えつつ、計画を立てています。	I am making a plan while thinking about the future.	悪いと知りつつ、黙っていました。	Although I knew it was wrong, I remained silent.
n2	動詞かねる	be unable to; find it difficult to	Formal inability or reluctance in service and professional contexts; attach to the verb stem.	その質問にはお答えしかねます。	I am unable to answer that question.	今は判断しかねます。	I cannot make a judgment at present.
n2	動詞かねない	might unfortunately do; could lead to	Warns of an undesirable possibility; not the negative of polite inability in ordinary meaning.	このままでは事故が起こりかねません。	If things continue like this, an accident could happen.	無理をすると、体を壊しかねません。	If you overdo it, you could damage your health.
n2	動詞得る／得ない	can possibly; cannot possibly	Expresses theoretical possibility rather than learned ability; reading varies by conjugated form.	誰にでも起こり得る問題です。	It is a problem that could happen to anyone.	その説明だけでは納得し得ません。	I cannot be convinced by that explanation alone.
n2	普通形おそれがある	there is a risk that	A formal warning of an undesirable outcome; distinguish an assessed risk from certainty.	大雨で川があふれるおそれがあります。	There is a risk that the river will overflow because of heavy rain.	交通が乱れるおそれがあります。	There is a risk of transport disruption.
n2	普通形に決まっている	be certain to; of course	Strong subjective conviction, often more emphatic than the evidence warrants.	そんなに安いのには理由があるに決まっています。	There must be a reason it is so cheap.	努力したのだから、喜ぶに決まっています。	Of course they will be happy, since they worked hard.
n2	普通形にすぎない	be merely; no more than	Downplays scope or importance; nouns can attach directly.	これは一つの例にすぎません。	This is merely one example.	私は聞いたことを伝えたにすぎません。	I merely passed on what I had heard.
n2	Nにほかならない	be nothing other than; precisely	Emphatically identifies an essence or cause; primarily formal explanatory style.	成功は努力の結果にほかなりません。	The success is nothing other than the result of effort.	これは信頼の証しにほかなりません。	This is precisely proof of trust.
n2	普通形とは限らない	not necessarily; not always	Denies universality, leaving open both positive and negative cases.	有名な店がおいしいとは限りません。	A famous restaurant is not necessarily good.	早く終わるとは限りません。	It will not necessarily finish early.
n2	普通形わけだ	that explains why; it follows that	Arrives at a conclusion from known information, rather than issuing an obligation.	五年住んでいたのですか。道に詳しいわけですね。	You lived there for five years? That explains why you know the streets well.	一日に十ページなら、十日で百ページ読むわけです。	At ten pages a day, that means reading one hundred pages in ten days.
n2	普通形ものの	although; despite the fact that	Written-style concession; nouns and na-adjectives generally require the attributive copula.	買ったものの、まだ使っていません。	Although I bought it, I have not used it yet.	説明を読んだものの、操作は分かりませんでした。	Although I read the explanation, I did not understand how to operate it.
n2	普通形にもかかわらず	despite; notwithstanding	Formal strong contrast between circumstance and outcome; nouns attach directly.	雨にもかかわらず、多くの人が来ました。	Despite the rain, many people came.	十分に休んだにもかかわらず、疲れが取れません。	Despite resting enough, I cannot shake off my fatigue.
n2	普通形くせに	even though; despite, with criticism	Usually conveys blame or contempt; restrict productive practice to appropriate fictional contexts.	知っているくせに、教えてくれません。	Even though they know, they will not tell me.	約束したくせに、彼は来ませんでした。	Even though he promised, he did not come.
n2	普通形わりに	considering; for the degree expected	An outcome differs from the expectation raised by the first clause.	この店は高いわりに、量が少ないです。	Considering how expensive this restaurant is, the portions are small.	初めてのわりに、上手にできました。	It turned out well considering it was the first attempt.
n2	普通形だけあって	as expected of; because appropriately	The observed result matches a quality, reputation or invested effort.	長く住んでいるだけあって、町に詳しいですね。	As expected of someone who has lived here a long time, you know the town well.	人気があるだけあって、この本は面白いです。	As its popularity would suggest, this book is interesting.
n2	普通形ばかりか	not only; even more	Adds a stronger or more surprising fact, frequently in formal writing.	彼は遅刻したばかりか、資料も忘れました。	He not only arrived late but also forgot the documents.	この方法は安いばかりか、環境にも優しいです。	This method is not only inexpensive but also environmentally friendly.
n2	Nに加えて	in addition to	A formal additive connector; attach to nominal content.	英語に加えて、中国語も勉強しています。	In addition to English, I am studying Chinese.	雨に加えて、風も強くなりました。	In addition to the rain, the wind grew stronger.
n2	Nをはじめ	starting with; including a representative example	The listed item represents a larger group, not necessarily a chronological first step.	東京をはじめ、多くの都市で展示会が開かれます。	Exhibitions will be held in many cities, including Tokyo.	先生をはじめ、皆さんに感謝しています。	I am grateful to everyone, especially my teacher.
n2	Nにわたって	over; throughout an extent	Describes duration, geographical reach or a broad range.	調査は三年にわたって行われました。	The survey was conducted over three years.	広い地域にわたって雨が降りました。	Rain fell throughout a wide area.
n2	Nを通じて／を通して	through; throughout; via	Distinguish mediation from a whole-period temporal scope.	友人を通じて、その会社を知りました。	I learned about that company through a friend.	一年を通して暖かい地域です。	It is a region that is warm throughout the year.
n2	Nに伴って	along with; accompanying change	Formal description of linked developments; correlation need not establish causation.	人口の増加に伴って、住宅が増えました。	Housing increased along with population growth.	制度の変更に伴って、手続きも変わります。	Procedures will also change with the change in the system.
n2	動詞につれて	as; progressively along with	Describes two changes that develop together; usually not an intentional instruction.	時間がたつにつれて、不安が減りました。	As time passed, my anxiety diminished.	山を登るにつれて、気温が下がります。	As you climb the mountain, the temperature drops.
n2	N／動詞に従って	in accordance with; as a change proceeds	Teach compliance with a rule separately from correlated progression.	説明書に従って組み立ててください。	Please assemble it according to the instructions.	年を取るに従って、好みが変わりました。	My tastes changed as I grew older.
n2	Nに応じて	in response to; according to need	The response adapts to the stated condition, scale or requirement.	経験に応じて、仕事を分けます。	We allocate work according to experience.	必要に応じて、予定を変更できます。	The schedule can be changed as necessary.
n2	Nに基づいて	based on a foundation or evidence	Formal grounding in data, a rule or a plan; check that the claimed evidence supports the conclusion.	資料に基づいて判断しました。	I made a judgment based on the documents.	計画に基づいて工事を進めます。	We will proceed with construction based on the plan.
n2	Nをめぐって	concerning a disputed or discussed issue	Often accompanies debate, competition or differing positions.	新しい制度をめぐって議論が続いています。	Debate continues over the new system.	土地の利用をめぐって意見が分かれました。	Opinions were divided over the use of the land.
n2	Nに関して	concerning; regarding	Formal topic marking; introduce the attributive version for document titles and noun phrases.	この件に関して、ご質問はありますか。	Do you have any questions regarding this matter?	安全に関して詳しく説明します。	I will explain safety matters in detail.
n2	Nに際して	on the occasion of; when undertaking	A formal significant occasion or planned undertaking, not every routine occurrence.	申し込みに際して、身分証明書が必要です。	Identification is required when applying.	出発に際して、注意事項を確認しました。	Before departure, we checked the precautions.
n2	Nに先立って	prior to; in advance of	Formal sequencing of preparation before an event.	会議に先立って、資料を配りました。	We distributed documents prior to the meeting.	工事に先立って、住民に説明しました。	We explained matters to residents before construction.
n2	動詞た末に	after a long process; in the end	Implies substantial effort, thought or difficulty before an outcome.	長く考えた末に、転職を決めました。	After thinking for a long time, I decided to change jobs.	話し合った末に、計画を変更しました。	After extensive discussion, we changed the plan.
n2	動詞たあげく	after all that; ultimately an undesirable result	Typically describes a negative outcome following effort or indecision.	長く待ったあげく、店に入れませんでした。	After waiting a long time, we still could not get into the shop.	迷ったあげく、何も買いませんでした。	After much indecision, I bought nothing.
n2	動詞きり	ever since; with no subsequent expected action	Past verb plus this expression often indicates that an expected next event never happened.	彼は出かけたきり、戻ってきません。	He went out and has not returned.	去年会ったきり、連絡を取っていません。	We have not been in contact since meeting last year.
n2	N抜きで／抜きにして	without; leaving aside	Signals deliberate omission of an ingredient, participant or consideration.	砂糖抜きでコーヒーを飲みます。	I drink coffee without sugar.	冗談抜きで、これは大事な問題です。	Joking aside, this is an important issue.
n2	Nに限らず	not limited to	Expands beyond a named group; often followed by an additional or broader group.	子供に限らず、大人にも人気があります。	It is popular not only with children but also with adults.	日本に限らず、世界中で使われています。	It is used not just in Japan but around the world.
n2	Nを問わず	regardless of; irrespective of	Formal inclusiveness over a specified criterion; do not imply that every other condition is absent.	年齢を問わず参加できます。	People can participate regardless of age.	経験の有無を問わず募集しています。	We are recruiting regardless of whether applicants have experience.
n2	動詞ざるを得ない	have no choice but to do	Formal unavoidable necessity; the irregular verb meaning do takes a special negative stem.	電車が止まったので、歩かざるを得ませんでした。	The trains had stopped, so I had no choice but to walk.	費用が足りず、計画を変えざるを得ません。	We lack funds and have no choice but to change the plan.
n1	動詞や否や	as soon as; no sooner than	A rapid actual sequence; literary or formal, with the dictionary form before the connector.	彼は席に着くや否や、資料を開きました。	As soon as he sat down, he opened the documents.	ベルが鳴るや否や、子供たちは外へ走りました。	As soon as the bell rang, the children ran outside.
n1	動詞が早いか	no sooner than; immediately on	A near-simultaneous sequence, typically describing observed rather than intended actions.	ドアが開くが早いか、猫が飛び出しました。	No sooner had the door opened than the cat darted out.	彼は話を聞くが早いか、電話をかけました。	As soon as he heard the news, he made a phone call.
n1	動詞なり	as soon as; immediately after	Usually the same subject performs a sudden next action; do not confuse with manner or alternative-list uses.	彼は帰宅するなり、ソファに座り込みました。	As soon as he got home, he sank into the sofa.	彼女は手紙を読むなり、泣き出しました。	As soon as she read the letter, she began to cry.
n1	動詞そばから	no sooner than; repeatedly undone	A recurring action is immediately followed by a result that defeats its purpose.	片付けるそばから、子供がおもちゃを出します。	No sooner do I tidy up than the child takes out toys again.	覚えたそばから、単語を忘れてしまいます。	I forget words almost as soon as I learn them.
n1	動詞てからというもの	ever since a major turning point	Emphasizes a lasting change beginning with the first event.	この町に来てからというもの、毎日歩いています。	Ever since moving to this town, I have walked every day.	本を出版してからというもの、生活が変わりました。	Ever since publishing the book, my life has changed.
n1	動詞たが最後	once something happens, an inevitable result follows	Usually warns of a difficult-to-reverse consequence; not simply a neutral chronological sequence.	この秘密を話したが最後、もう取り消せません。	Once you reveal this secret, you cannot take it back.	彼と議論を始めたが最後、何時間も終わりません。	Once you start arguing with him, it goes on for hours.
n1	Nを皮切りに	starting with; an initial event followed by a series	Use where the first event launches a succession or expansion.	東京公演を皮切りに、全国を回ります。	Starting with the Tokyo performance, they will tour the country.	最初の成功を皮切りに、新しい事業が次々に始まりました。	Starting with the first success, new businesses began one after another.
n1	Nをもって	as of; by means of, formal	Explicitly distinguish formal completion-time use from formal means; teach completion first.	本日をもって、受付を終了します。	Applications will close as of today.	この発表をもって、会議を終わります。	With this presentation, we conclude the meeting.
n1	Nを経て	through; after passing through a stage	Describes a route or process with meaningful intermediate stages.	何度もの話し合いを経て、合意に達しました。	After several rounds of discussion, we reached agreement.	大阪を経て、京都に向かいました。	We headed to Kyoto via Osaka.
n1	Nに至るまで	even as far as; down to	Emphasizes the farthest extent or finest detail within an inclusive range.	服装から話し方に至るまで、よく似ています。	They are very similar, from their clothing right down to their way of speaking.	小さな部品に至るまで、確認しました。	We checked everything, down to the smallest parts.
n1	Nに至っては	when it comes to an extreme case	Often singles out a striking example, frequently unfavourable; requires a broader comparison context.	皆遅れていましたが、彼に至っては一時間も遅刻しました。	Everyone was late, but he was a full hour late.	他の部屋も狭いですが、この部屋に至っては窓さえありません。	The other rooms are small, but this room does not even have a window.
n1	Nに即して	in accordance with; closely reflecting	Formal consistency with actual circumstances, evidence or an applicable standard.	現実に即して、計画を見直す必要があります。	We need to revise the plan in line with reality.	事実に即して説明してください。	Please explain in accordance with the facts.
n1	Nに照らして	in light of; against a standard	An evaluative comparison with law, precedent, evidence or criteria.	規則に照らして、判断しました。	We made a judgment in light of the rules.	過去の例に照らして、この対応は適切です。	In light of past examples, this response is appropriate.
n1	Nを踏まえて	taking into account; building on	Implies that known facts or prior discussion inform the next action.	調査結果を踏まえて、対策を考えます。	We will consider measures based on the survey results.	前回の反省を踏まえて、方法を変えました。	We changed the method in light of what we learned last time.
n1	Nに則って	in conformity with established rules	Formal compliance with a rule, procedure or custom, rather than mere similarity.	法律に則って、手続きを進めます。	We will proceed with the procedure in accordance with the law.	伝統に則って、式が行われました。	The ceremony was conducted in accordance with tradition.
n1	Nを余儀なくされる	be compelled to; be forced into	A formal passive emphasizing external circumstances rather than personal preference.	大雪で予定の変更を余儀なくされました。	Heavy snow forced us to change the schedule.	工場は操業停止を余儀なくされました。	The factory was forced to suspend operations.
n1	動詞ずにはいられない	cannot help doing; unable to resist	An involuntary feeling or strong inner impulse motivates the action; not externally imposed duty.	その話を聞くと、笑わずにはいられません。	I cannot help laughing when I hear that story.	この写真を見ると、故郷を思い出さずにはいられません。	When I see this photograph, I cannot help remembering my hometown.
n1	動詞ずにはおかない	will inevitably cause; be sure to	A powerful effect inevitably provokes an action or response; distinguish inner impulse from causal force.	彼女の演奏は聴衆を感動させずにはおきません。	Her performance is sure to move the audience.	この発見は社会の関心を集めずにはおかないでしょう。	This discovery will surely attract public interest.
n1	動詞ずにはすまない	cannot get away without; must do to settle matters	A social or practical obligation makes avoidance unacceptable; not a claim of inability.	大切な資料をなくしたので、謝らずにはすみません。	Having lost the important documents, I cannot avoid apologizing.	これほど迷惑をかけた以上、説明せずにはすみません。	After causing this much trouble, I cannot leave without explaining.
n1	動詞ないではすまない	cannot avoid having to do	Negative connective variant of unavoidable accountability; teach as a related but usable construction.	約束を破ったのだから、謝らないではすみません。	Since I broke my promise, I cannot avoid apologizing.	この問題は、責任者が説明しないではすまないでしょう。	The person in charge will have to explain this problem.
n1	動詞べく	in order to; with the aim of	Formal purpose attached to dictionary form; typically intentional written narration.	問題を解決すべく、専門家が集まりました。	Experts gathered in order to solve the problem.	真相を確かめるべく、現地へ向かいました。	I headed to the site to establish the truth.
n1	動詞んがために	in order to; with a firm aim	Literary and emphatic purpose; formed from the negative stem and uncommon in ordinary conversation.	夢を実現せんがために、努力を重ねました。	I worked persistently in order to realize my dream.	技術を学ばんがために、海を渡りました。	They crossed the sea in order to learn the technology.
n1	動詞べからず	must not; formal prohibition	Written notices or maxims; recognize rather than use as routine polite conversation.	ここに立ち入るべからず。	Do not enter this area.	初心を忘れるべからず。	Do not forget your original intentions.
n1	動詞まじき	unbecoming; something that should never be	Attributive condemnation, often attached to a role or professional norm; strongly judgmental.	教師にあるまじき発言です。	It is a remark unbecoming of a teacher.	責任者にあるまじき態度でした。	It was conduct unbecoming of the person in charge.
n1	動詞に堪えない	unbearable to; not worth enduring	With perception verbs, the quality makes the experience intolerable; contrast separate emotional-noun use.	その報告は聞くに堪えない内容でした。	The report's contents were unbearable to hear.	その映像は見るに堪えませんでした。	The footage was unbearable to watch.
n1	Nに堪えない	be overwhelmed by an emotion	Formal emotional expression; distinguish this sense from an unbearable viewing or listening experience.	皆様のご支援を賜り、感謝に堪えません。	Having received everyone's support, I am deeply grateful.	この知らせを聞き、喜びに堪えません。	I am overwhelmed with joy at this news.
n1	(V-dictionary / verbal noun) + に足る	be worthy of; sufficient to	Attach to a dictionary-form verb or a verbal noun expressing the relevant action. Formal attributive or predicative evaluation; identify what evidence supports the appraisal.	彼は信頼に足る人物です。	He is a person worthy of trust.	検討に足る提案だと思います。	I think it is a proposal worthy of consideration.
n1	動詞に忍びない	cannot bear to do for emotional reasons	Compassion or emotional difficulty prevents the action, rather than physical inability.	この古い手紙は捨てるに忍びません。	I cannot bear to throw away these old letters.	彼女の悲しむ姿は見るに忍びません。	I cannot bear to see her looking so sad.
n1	普通形といえども	even though; even in the case of	Formal concession that rejects exemption for a category or circumstance.	専門家といえども、間違うことはあります。	Even experts can make mistakes.	子供といえども、規則は守る必要があります。	Even children need to follow the rules.
n1	普通形とはいえ	although admittedly; even so	Acknowledges a proposition and then qualifies the expected conclusion.	春とはいえ、朝はまだ寒いです。	Although it is spring, the mornings are still cold.	便利とはいえ、費用がかかりすぎます。	Although it is convenient, it costs too much.
n1	普通形ものを	if only; although, with regret	Highlights an unrealized better outcome or disappointment; literary or emotionally marked.	相談してくれれば、手伝えたものを。	If only you had consulted me, I could have helped.	早く出れば間に合ったものを、寝坊してしまいました。	I would have been on time if I had left early, but I overslept.
n1	(N / V-stem) + ながらに／ながらにして	while remaining in a state; from a state	Used in fixed state expressions with certain nouns or verb stems; the extended form occurs in established combinations. Do not freely substitute it for the ordinary simultaneous-action connective.	彼女は涙ながらに事情を説明しました。	She explained the circumstances in tears.	このサービスなら、家にいながらにして買い物ができます。	With this service, you can shop without leaving home.
n1	Nならではの	unique to; possible only through a special quality	Praises or identifies a distinctive strength; typically modifies a noun.	地元ならではの料理を楽しみました。	We enjoyed dishes unique to the local area.	職人ならではの技術です。	It is skill distinctive to an artisan.
n1	Nと相まって	together with; interacting with	Two factors combine to strengthen an outcome rather than simply coexist.	努力が才能と相まって、大きな成果を生みました。	Effort combined with talent to produce a major achievement.	照明が音楽と相まって、特別な雰囲気を作りました。	The lighting and music together created a special atmosphere.
n1	Nをよそに	disregarding; unaffected by	A subject acts contrary to others' concerns or an external situation.	周囲の心配をよそに、彼は旅を続けました。	Disregarding the concern of those around him, he continued his journey.	不況をよそに、この店は売り上げを伸ばしています。	Despite the recession, this shop is increasing its sales.
n1	Nをものともせずに	undaunted by; overcoming an obstacle	Depicts determined action despite a substantial obstacle; often admiring in tone.	強風をものともせずに、選手たちは走り続けました。	Undaunted by the strong wind, the athletes kept running.	困難をものともせずに、研究を続けました。	Undaunted by difficulties, they continued the research.
n1	Nを押して	despite; pushing past a constraint	Usually expresses undertaking an action despite illness, opposition or a demanding schedule.	彼は病気を押して、会議に出席しました。	He attended the meeting despite being ill.	反対を押して、計画を進めました。	They pressed ahead with the plan despite opposition.
n1	Nを顧みず	without regard for; disregarding consequences	Highlights neglect of a consideration, which may be courageous or imprudent depending on context.	危険を顧みず、救助に向かいました。	They went to help without regard for the danger.	家族の心配を顧みず、彼は出発しました。	He departed without regard for his family's concern.
n1	Nいかんで	depending on; according to the nature of	Highly formal expression of dependence, common in institutional decisions.	結果いかんで、方針を見直します。	We will revise the policy depending on the results.	対応いかんで、信頼を取り戻せるかが決まります。	Whether trust can be regained depends on the response.
n1	Nのいかんにかかわらず	regardless of the nature of	Formal unconditional scope over a specified criterion; frequently used in rules.	理由のいかんにかかわらず、無断欠席は認めません。	Unauthorized absence is not permitted regardless of the reason.	結果のいかんにかかわらず、報告してください。	Please report regardless of the outcome.
n1	NといいNといい	both in terms of one aspect and another	Lists representative aspects supporting a broad appraisal.	色といい形といい、理想的なかばんです。	In both colour and shape, it is an ideal bag.	味といい香りといい、すばらしいお茶です。	In both taste and aroma, it is excellent tea.
n1	NであれNであれ	whether one or the other; regardless which	Formal paired alternatives with an invariant result.	学生であれ社会人であれ、学び続けることは大切です。	Whether one is a student or a working adult, continuing to learn is important.	晴天であれ雨天であれ、式は行われます。	Whether the weather is fine or rainy, the ceremony will take place.
n1	動詞ようが／ようと	even if; no matter what one does	Volitional-form concession expresses an unchanged outcome or strong resolve.	誰が反対しようと、私は意見を変えません。	No matter who objects, I will not change my opinion.	どれほど時間がかかろうが、最後まで続けます。	No matter how long it takes, I will continue to the end.
n1	動詞んばかりに	as if about to; almost to the point of	Literary vivid description formed from a negative stem; typically exaggerates an appearance.	彼女は泣かんばかりに頼みました。	She pleaded as if she were about to cry.	犬は飛びつかんばかりに喜びました。	The dog was so delighted that it seemed ready to jump on me.
n1	普通形こととて	because; given that, formal explanation	Literary or formal reason, often used to excuse an unintentional limitation or request understanding.	不慣れなこととて、時間がかかってしまいました。	Being unfamiliar with it, I unfortunately took a long time.	急なこととて、十分な準備ができませんでした。	Because it was so sudden, we could not prepare adequately.
