level	pattern	english	note	example1	translation1	example2	translation2
4	V/A-(으)ㄴ/는 척하다	pretend to V / be A	Presents an outward display that differs from reality; modifiers follow predicate type.	모르는 척하지 마세요.	Do not pretend not to know.	괜찮은 척했지만 사실은 걱정됐어요.	I pretended to be fine, but I was actually worried.
4	V/A-(으)ㄴ/는 셈이다	it amounts to; effectively	A calculation or interpretive conclusion rather than literal identity.	이 돈이면 한 달을 공짜로 쓰는 셈이에요.	At this price, it amounts to using it for one month free.	이미 절반은 끝난 셈이에요.	In effect, half is already finished.
4	V-(으)ㄹ 겸	also with the purpose of; killing two birds	Names one of multiple compatible purposes; a repeated construction can make both purposes explicit.	운동도 할 겸 걸어서 출근해요.	I walk to work partly to get some exercise.	책도 살 겸 친구도 만날 겸 시내에 갔어요.	I went downtown both to buy books and to meet a friend.
4	V-(으)려다가	intended to V, but then	Contrasts an intention with a subsequent change before or during execution.	버스를 타려다가 지하철을 탔어요.	I was going to take the bus but took the subway instead.	전화하려다가 늦은 시간이라 그만두었어요.	I was about to call but decided not to because it was late.
4	V-(으)려면	if you intend / want to V	Specifies a prerequisite for an intended result or action.	이 일을 끝내려면 시간이 더 필요해요.	To finish this work, we need more time.	건강해지려면 꾸준히 운동해야 해요.	If you want to become healthy, you need to exercise regularly.
4	V/A-(으)ㄹ까 봐	for fear that; worried that	Motivates precautions through an uncertain feared outcome.	늦을까 봐 일찍 출발했어요.	I left early because I was afraid I might be late.	잊어버릴까 봐 메모했어요.	I made a note because I was afraid I might forget.
4	V/A-(으)ㄹ 리가 없다	there is no way; cannot possibly	Expresses the speaker's strong inference, not independently verified proof.	그 사람이 약속을 잊을 리가 없어요.	There is no way that person would forget the appointment.	이렇게 싼데 정품일 리가 없어요.	It is so cheap that it cannot possibly be genuine.
4	V/A-(으)ㄹ 수도 있다	it is possible that; could	Recognizes one possible outcome among alternatives; scope differs from simple ability.	계획이 바뀔 수도 있어요.	The plan could change.	같은 말도 다르게 들릴 수 있어요.	The same words can sound different.
4	V/A-거든요	you see; because; explanatory background	Often supplies information the listener may not know; repeated use can sound defensive.	오늘은 일찍 가야 해요. 가족 약속이 있거든요.	I need to leave early today. You see, I have a family appointment.	이 길로 가세요. 그쪽은 공사 중이거든요.	Take this road. The other way is under construction.
4	V/A-거든	if; when that happens	Conditional connective, distinct from the explanatory sentence ending; often followed by a request or suggestion.	시간이 나거든 연락해 주세요.	If you have time, please contact me.	그 책을 다 읽거든 저에게 빌려주세요.	When you finish that book, please lend it to me.
4	V/A-다고 해서	just because; on the grounds that	With a negative conclusion, rejects an overgeneralization based on the quoted proposition.	비싸다고 해서 다 좋은 것은 아니에요.	Just because something is expensive does not mean it is good.	쉽다고 해서 준비를 안 하면 안 돼요.	You should not skip preparation just because it is easy.
4	V/A-다고 하던데	I heard that; reported background	Introduces remembered hearsay and often invites a response; distinguish personal evidence from quoted information.	그 영화가 재미있다고 하던데 같이 볼까요?	I heard that movie is interesting; shall we watch it together?	내일 비가 온다고 하던데 우산을 챙기세요.	I heard it will rain tomorrow, so take an umbrella.
4	V-도록	so that; until; to an extent	Teach purpose or enabled outcome here; do not force every occurrence into a command meaning.	모두 들을 수 있도록 크게 말해 주세요.	Please speak loudly so everyone can hear.	늦지 않도록 서두르세요.	Hurry so that you are not late.
4	V-도록 하다	make sure to; arrange for V	Common in instructions and self-commitments; strength depends on speaker roles and context.	내일까지 제출하도록 하세요.	Make sure to submit it by tomorrow.	앞으로 시간을 잘 지키도록 하겠습니다.	I will make sure to be punctual from now on.
4	V-느냐에 따라	depending on whether / how one V	Embeds an indirect question before the variation construction; preserve the question's semantic focus.	어떻게 설명하느냐에 따라 반응이 달라져요.	The response varies depending on how you explain it.	어디에서 사느냐에 따라 가격이 달라요.	The price differs depending on where you buy it.
4	N에 비해	compared with N	Compares against a standard; unlike the ordinary comparative particle, it is especially useful in expository prose.	작년에 비해 방문객이 늘었어요.	The number of visitors increased compared with last year.	가격에 비해 품질이 좋아요.	The quality is good relative to the price.
4	N에 따르면	according to N; cited information	Names the source of a claim; the tutor must not invent real studies or statistics to fill this pattern.	안내문에 따르면 신청은 오늘까지예요.	According to the notice, applications close today.	일기 예보에 따르면 내일은 맑겠어요.	According to the weather forecast, it will be clear tomorrow.
4	V/A-(으)ㅁ	written nominalization; the fact of	Used in labels, concise records, and formal prose; not a replacement for every spoken nominalization.	신청이 마감되었음을 알려 드립니다.	We inform you that applications have closed.	약속을 지키지 못했음을 사과드립니다.	I apologize for failing to keep my promise.
5	V/A-(으)ㄹ 수밖에 없다	have no choice but to; necessarily	Expresses necessity from circumstances rather than a mere rule or preference.	자료가 부족해서 판단을 미룰 수밖에 없습니다.	We have no choice but to postpone judgment because the data are insufficient.	비용이 오르면 가격도 오를 수밖에 없어요.	If costs rise, prices inevitably have to rise too.
5	V/A-기 마련이다	it is natural / expected that	Presents a general tendency; avoid turning a stereotype into a supposedly universal rule.	처음에는 누구나 실수하기 마련이에요.	Everyone naturally makes mistakes at first.	준비가 부족하면 문제가 생기기 마련입니다.	Problems are likely to arise when preparation is insufficient.
5	V/A-기 나름이다	depend on how one V	Highlights a controllable or varying factor that changes the result.	결과는 준비하기 나름이에요.	The outcome depends on how you prepare.	같은 말도 받아들이기 나름입니다.	The same words can differ in meaning depending on how they are received.
5	V/A-(으)ㄴ/는 법이다	it is generally the case; a principle	States a general principle, often with a didactic tone; distinguish from practical knowledge of how to do something.	경험이 쌓이면 시야가 넓어지는 법이에요.	As experience accumulates, one's perspective generally broadens.	사람은 누구나 변하는 법입니다.	It is the nature of people to change.
5	V/A-(으)ㄹ 만하다	be worth V-ing; be reasonably A	The action evaluation and tolerability readings must be distinguished from ability.	이 보고서는 읽어 볼 만합니다.	This report is worth reading.	이 정도 소음은 참을 만해요.	This amount of noise is tolerable.
5	V/A-(으)ㄹ 정도로	to the extent that; enough to	Specifies degree by a result or benchmark, sometimes rhetorically rather than literally.	목소리가 떨릴 정도로 긴장했어요.	I was so nervous that my voice shook.	누구나 이해할 정도로 쉽게 설명했습니다.	I explained it simply enough for anyone to understand.
5	V/A-다시피	as you can see / know; virtually	The basic connective points to an accessible fact; the auxiliary construction can mean practically or almost.	보시다시피 모든 좌석이 찼습니다.	As you can see, all the seats are occupied.	알다시피 이 문제는 단순하지 않아요.	As you know, this issue is not simple.
5	V-다시피 하다	practically V; almost do V	An approximate characterization, not an exact identity or a literal report of another person's speech.	마감 때문에 밤을 새우다시피 했어요.	I practically stayed up all night because of the deadline.	그 소식을 듣고 뛰다시피 걸어왔어요.	After hearing the news, I walked here almost at a run.
5	V-고 말다	end up V-ing; regrettably / finally V	Marks an eventual outcome often contrary to hopes; emotional force varies with context.	끝까지 참으려 했지만 울고 말았어요.	I tried to hold back until the end, but I ended up crying.	결국 계획을 취소하고 말았습니다.	In the end, we had to cancel the plan.
5	V-아/어 내다	manage to V; bring V to completion	Emphasizes overcoming difficulty and achieving a result.	긴 협상 끝에 합의를 이끌어 냈습니다.	After lengthy negotiations, we managed to reach an agreement.	혼자서 어려운 일을 해냈어요.	I managed to do the difficult work on my own.
5	V-고자 하다	intend to; seek to V	Formal statement of purpose; appropriate for proposals and presentations rather than ordinary casual chat.	이번 연구에서는 원인을 밝히고자 합니다.	In this study, we seek to identify the cause.	지역 주민의 의견을 듣고자 합니다.	We would like to hear the opinions of local residents.
5	V/A-(으)므로	because; since; formal reason	A written causal connective, not the instrumental particle; select predicate inflection appropriately.	안전이 중요하므로 규정을 지켜야 합니다.	Since safety is important, the rules must be followed.	신청자가 많으므로 접수를 일찍 마감합니다.	Because there are many applicants, registration closes early.
5	V-(으)ㅁ으로써	by doing V; through V	A nominalized action plus means marker, distinct from the similar-looking causal connective.	자료를 공개함으로써 신뢰를 높일 수 있습니다.	Trust can be increased by disclosing the data.	함께 토론함으로써 새로운 해결책을 찾았습니다.	We found a new solution by discussing it together.
5	V-는 데 있어(서)	in V-ing; when it comes to V	Frames an area of relevance; avoid repetitive use when a simpler expression is clearer.	언어를 배우는 데 있어서 꾸준함이 중요합니다.	Consistency is important in learning a language.	정책을 평가하는 데 있어 자료의 질이 핵심입니다.	Data quality is central to evaluating policy.
5	V/A-(으)ㄴ/는 이상	now that; given that	A premise creates an obligation or logical consequence; distinguish this from the noun meaning above or more.	약속한 이상 책임을 져야 합니다.	Now that you have promised, you must take responsibility.	문제가 확인된 이상 조치가 필요합니다.	Given that the problem has been confirmed, action is necessary.
5	V/A-(으)ㄴ/는 한	as long as; insofar as	Limits the claim to the stated condition or scope.	규칙을 지키는 한 누구나 참여할 수 있습니다.	Anyone may participate as long as they follow the rules.	제가 아는 한 그 소문은 사실이 아닙니다.	As far as I know, that rumor is not true.
5	V/A-(으)ㄴ/는 한편	on the one hand; meanwhile	Useful for parallel actions or contrasting aspects in expository writing.	시설을 확충하는 한편 직원 교육도 강화했습니다.	We expanded the facilities while also strengthening staff training.	편리한 한편 개인정보 보호 문제가 생길 수 있어요.	It is convenient, but privacy issues can arise.
5	V/A-기는커녕	far from V/A; let alone	Rejects an expected positive outcome and often introduces a worse or more basic failure.	쉬기는커녕 점심 먹을 시간도 없었어요.	Far from getting any rest, I did not even have time for lunch.	도움이 되기는커녕 오히려 방해가 됐어요.	Far from helping, it actually got in the way.
5	N은/는커녕	let alone N; not even N	The noun version can compare a less attainable thing with a more basic unmet requirement.	휴가는커녕 주말에도 일해요.	Let alone taking a vacation, I work even on weekends.	사과는커녕 설명도 없었습니다.	There was not even an explanation, let alone an apology.
5	V/A-기에	because; seeing that	A reason used in narration and explanation; the evaluative use after an action has a different construction.	불이 켜져 있기에 누가 있는 줄 알았어요.	Because the light was on, I thought someone was there.	질문이 많기에 설명을 덧붙였습니다.	Since there were many questions, I added an explanation.
5	V/A-길래	because I noticed; so I reacted	Conversational reason tied to the speaker's observation and response; do not make it an all-purpose formal causal connective.	사람들이 줄을 서 있길래 저도 기다렸어요.	I saw people lining up, so I waited too.	가격이 싸길래 두 개 샀어요.	The price was low, so I bought two.
5	V-(으)ㄴ 김에	while at it; taking the opportunity	Uses an already planned or completed action as an opportunity for an additional action.	시내에 나온 김에 책도 샀어요.	While I was downtown, I bought a book too.	청소를 시작한 김에 창문도 닦읍시다.	Since we have started cleaning, let's clean the windows too.
5	V-(으)ㄹ 바에야	if one is going to V, better to	The first option is dispreferred relative to the alternative; often strongly evaluative.	대충 할 바에야 시작하지 않는 게 낫겠어요.	Rather than do it carelessly, it would be better not to start.	계속 기다릴 바에야 다른 곳으로 갑시다.	Rather than keep waiting, let's go somewhere else.
5	V/A-(으)ㄹ 따름이다	merely; all one can do is	A restrained formal conclusion, often expressing regret, gratitude, or lack of alternatives.	좋은 결과를 기대할 따름입니다.	All we can do is hope for a good result.	도와주신 분들께 감사할 따름입니다.	I can only express gratitude to those who helped.
5	V-(으)ㄴ 끝에	after; at the end of a long process	Highlights a result reached through sustained activity or difficulty.	오랫동안 논의한 끝에 합의했습니다.	After lengthy discussions, we reached an agreement.	여러 번 시도한 끝에 문제를 해결했어요.	After several attempts, I solved the problem.
5	V-는 대로	as soon as; in accordance with	Immediate succession with action verbs differs from following instructions or matching a manner.	결과가 나오는 대로 알려 드리겠습니다.	I will let you know as soon as the results come out.	들은 대로 정확히 적으세요.	Write down exactly what you heard.
5	V/A-든지	whether; whichever; regardless of choice	Marks alternatives, not retrospective recollection; distinguish its spelling and meaning from the retrospective ending.	참여하든지 하지 않든지 알려 주세요.	Please let us know whether you will participate or not.	어디에 살든지 건강이 중요해요.	Wherever you live, health is important.
5	V/A-거나 말거나	whether or not; regardless of another's action	Often sounds indifferent or dismissive; practice context and relational consequences.	사람들이 믿거나 말거나 사실은 변하지 않아요.	Whether people believe it or not, the facts do not change.	그가 듣거나 말거나 저는 설명을 계속했어요.	Whether he listened or not, I continued explaining.
5	V/A-(으)ㄹ까 하다	consider doing; tentatively think of	A tentative intention; not the same as a firm plan or a fear construction.	이번에는 온라인으로 신청할까 해요.	I am thinking of applying online this time.	주말에는 집에서 쉴까 합니다.	I am considering resting at home this weekend.
5	V/A-았/었더라면	if it had been; if one had V-ed	Counterfactual past condition; the result often uses a modal or conditional evaluation.	조금 일찍 출발했더라면 기차를 탔을 거예요.	If I had left a little earlier, I would have caught the train.	자료를 확인했더라면 실수를 줄일 수 있었겠죠.	If we had checked the data, we could have reduced the mistakes.
5	V-았/었어야 했는데	should have V-ed, but did not	Retrospective unmet obligation or regret; state what actually happened when evaluating the meaning.	미리 예약했어야 했는데 깜빡했어요.	I should have reserved in advance, but I forgot.	그때 사실을 말했어야 했는데 그러지 못했어요.	I should have told the truth then, but I could not.
5	V/A-(으)ㄹ 줄 알았다 / 몰랐다	thought / did not expect that	Reports an expectation that may be contradicted; distinguish from knowing how to perform an action.	이렇게 오래 걸릴 줄 몰랐어요.	I did not expect it to take this long.	금방 끝날 줄 알았는데 아직도 진행 중이에요.	I thought it would finish quickly, but it is still ongoing.
5	V/A-다고 볼 수 있다	can be regarded as; may be said to	Useful for a qualified interpretation; it should be supported by evidence rather than merely sounding academic.	이 변화는 긍정적이라고 볼 수 있습니다.	This change can be regarded as positive.	두 요인이 함께 작용한다고 볼 수 있어요.	It can be said that the two factors operate together.
5	V/A-는 것이 아니라	not that V, but	A corrective contrast; modifier form changes with predicate type and time.	비용을 줄이는 것이 아니라 사용 방식을 바꾸는 겁니다.	We are not reducing costs; we are changing how it is used.	관심이 없는 것이 아니라 시간이 부족한 거예요.	It is not that I am uninterested; I do not have enough time.
5	N을/를 비롯해	including N; starting with N	Introduces a representative member of a larger group; the list should support the generalization.	학생을 비롯해 주민들도 참여했습니다.	Residents participated as well as students.	서울을 비롯해 여러 도시에서 행사가 열립니다.	The event is held in several cities, including Seoul.
5	N에 불과하다	be no more than N; amount merely to N	Downscales an amount or status; use carefully because it may dismiss someone's contribution.	그것은 여러 가능성 중 하나에 불과합니다.	It is only one of several possibilities.	현재 결과는 예비 조사 결과에 불과해요.	The current results are merely preliminary survey results.
6	V/A-(으)ㄹ지언정	even if; though one may	Formal or literary concession, often paired with a strong commitment in the next clause.	실패할지언정 원칙은 지키겠습니다.	Even if I fail, I will uphold my principles.	속도는 느릴지언정 방향은 분명합니다.	Although progress may be slow, the direction is clear.
6	V/A-(으)ㄹ망정	although; even granting	Concedes a less favorable condition while asserting a contrasting value; register is emphatic or literary.	집은 작을망정 마음은 편해요.	The home may be small, but I feel at ease.	경험은 적을망정 의욕은 누구보다 큽니다.	Though I have little experience, my enthusiasm is greater than anyone's.
6	V/A-(으)ㄴ들	even if; even though; rhetorical concession	Often combines with a rhetorical question or a claim that the condition makes no difference.	지금 후회한들 무엇이 달라지겠어요?	Even if we regret it now, what would change?	아무리 설명한들 들으려 하지 않으면 소용없어요.	However much you explain, it is useless if they will not listen.
6	V/A-거니와	not only; and furthermore	A formal additive connective that frequently reinforces an argument.	이 제도는 효율적이거니와 비용도 적게 듭니다.	This system is efficient, and it also costs little.	그는 경험이 풍부하거니와 판단도 신중합니다.	He has extensive experience and is also careful in his judgment.
6	V/A-건마는	although; despite the fact that	A literary concessive form; focus on recognition and register before productive use.	봄이 왔건마는 바람은 여전히 차갑다.	Spring has come, yet the wind is still cold.	여러 번 경고했건마는 아무도 귀를 기울이지 않았다.	Although warnings were given several times, no one listened.
6	V-노라면	if one continues V-ing; while V-ing	Literary reflection connecting sustained action to an emerging state or insight.	옛 편지를 읽노라면 그 시절이 떠오른다.	As I read old letters, those days come back to me.	숲길을 걷노라면 마음이 차분해진다.	As one walks along a forest path, the mind grows calm.
6	V-노라고	in the course of trying to; saying that one V-ed	A formal or literary explanation of effort; distinguish from reported command morphology.	최선을 다하노라고 했지만 결과는 부족했습니다.	I tried to do my best, but the result fell short.	서두르노라고 했는데도 결국 늦고 말았어요.	I tried to hurry, yet I ended up late.
6	V-고도	even after V; despite V	Emphasizes an outcome unexpected after the completed action.	그는 사실을 알고도 아무 말도 하지 않았어요.	He knew the truth yet said nothing.	충분히 쉬고도 피로가 풀리지 않았습니다.	Even after resting enough, the fatigue did not go away.
6	V/A-(으)면서도	while; despite simultaneously being / doing	Use the added vowel after a consonant-final stem except a liquid-final stem. The concessive reading contrasts knowledge or circumstances with behavior; distinguish it from neutral simultaneous action.	그는 바쁘면서도 매일 가족에게 연락해요.	Although he is busy, he contacts his family every day.	사실을 알면서도 모르는 척했습니다.	Despite knowing the truth, they pretended not to know.
6	V/A-고서는	after doing; given that one has done	Often frames a condition judged incompatible with the next result, especially with negation.	약속을 어기고서는 신뢰를 얻기 어렵습니다.	It is hard to gain trust after breaking a promise.	사정을 모르고서는 쉽게 판단할 수 없어요.	You cannot judge easily without knowing the circumstances.
6	V-지 않고서는	unless one V; without V	Negative prerequisite construction; the final clause often expresses impossibility.	직접 확인하지 않고서는 결론을 내릴 수 없습니다.	We cannot reach a conclusion without checking directly.	서로 양보하지 않고서는 합의하기 어렵습니다.	It is difficult to agree unless both sides make concessions.
6	V/A-아/어서야	only when; given that; rhetorical criticism	Can mark a necessary threshold or a reproachful condition; teach the two readings separately.	직접 만나서야 오해가 풀렸어요.	The misunderstanding was resolved only after we met in person.	이렇게 준비가 부족해서야 어떻게 성공하겠어요?	With preparation this inadequate, how could we succeed?
6	V/A-아/어 봤자	even if one tries; it would be of little use	Often evaluates a proposed action as ineffective; do not use to discourage a learner's legitimate effort.	지금 서둘러 봤자 마지막 버스는 이미 떠났어요.	Even if we hurry now, the last bus has already left.	혼자 고민해 봤자 해결되지 않을 수 있어요.	Worrying about it alone may not solve it.
6	V/A-(으)ㄹ진대	given that; if it is the case that	Formal or literary premise supporting a normative conclusion; chiefly a reading-recognition target.	책임을 맡았을진대 끝까지 최선을 다해야 합니다.	Having accepted responsibility, one should do one's best to the end.	배움이 목적일진대 질문을 두려워할 이유가 없습니다.	If learning is the goal, there is no reason to fear questions.
6	V-는 한이 있더라도	even if it means having to V	Accepts a possible sacrifice in order to maintain a priority; distinguish commitment from a prediction.	시간이 더 걸리는 한이 있더라도 정확히 확인하겠습니다.	Even if it takes longer, I will check accurately.	계획을 바꾸는 한이 있더라도 안전을 지켜야 합니다.	Even if it means changing the plan, we must ensure safety.
6	V/A-(으)ㄹ 것까지는 없다	there is no need to go so far as to	Softens an extreme reaction without rejecting all action.	그 일로 사과할 것까지는 없어요.	There is no need to go so far as to apologize for that.	작은 실수 하나로 계획을 포기할 것까지는 없습니다.	There is no need to abandon the plan over one small mistake.
6	V/A-(으)ㄴ/는 셈 치다	treat it as; consider it as if	Adopts a practical or hypothetical accounting of an event, unlike stating that it actually amounts to something.	경험을 쌓은 셈 치고 다시 시작하겠습니다.	I will treat it as experience gained and start again.	하루 쉬는 셈 치고 천천히 둘러보세요.	Think of it as taking a day off and look around at leisure.
6	V/A-(으)ㄹ까 말까 하다	be barely at a threshold; consider whether to	Can express indecision with actions or approximation near a quantity; context resolves the meaning.	참가할까 말까 하다가 결국 신청했어요.	I hesitated over whether to participate and eventually applied.	회의에는 열 명이 될까 말까 한 사람들이 모였어요.	Barely ten people gathered for the meeting.
6	V-자니	now that I consider V; if I choose V	A contemplated choice creates a problem; paired alternatives often express a dilemma.	집에 가자니 일이 남았고 더 있자니 너무 피곤해요.	If I go home, work remains; if I stay longer, I am too tired.	그냥 버리자니 아깝고 보관하자니 자리가 없어요.	It feels wasteful to discard it, but there is no space to keep it.
6	V/A-다니	to think that; surprise at a proposition	A reaction to new or quoted information; it can express admiration, disappointment, or disbelief.	벌써 끝났다니 정말 빠르네요.	To think it is already finished; that was really fast.	이렇게 가까운 곳에 살다니 놀라워요.	It is surprising that you live so close.
6	V/A-다면서요?	I hear that; didn't you say that?	Checks reported or remembered information; intonation can make it sound accusatory.	다음 달에 이사한다면서요?	I hear you are moving next month; is that right?	이곳은 예약이 필요 없다면서요?	Didn't you say that reservations are not needed here?
6	V/A-다가는	if one keeps V-ing; warning of an outcome	A prospective undesirable outcome from continuing a behavior or condition.	그렇게 무리하다가는 건강을 해칠 수 있어요.	If you keep overworking like that, you could damage your health.	확인을 미루다가는 문제가 더 커질 수 있습니다.	If we keep postponing the check, the problem could become larger.
6	V/A-더라니	so that explains; linking a recollection to an explanation	A remembered observation is retrospectively explained; avoid confusing it with a simple hearsay statement.	어쩐지 조용하더라니 모두 외출했군요.	So that explains why it was quiet: everyone had gone out.	길이 막히더라니 근처에서 행사가 있었네요.	So that explains the congestion: there was an event nearby.
6	V/A-(으)ㄹ 법하다	be plausible; reasonably likely	A reasoned expectation rather than a rule or certainty.	그 정도 경험이면 능숙할 법해요.	With that much experience, it would be reasonable to expect proficiency.	처음 듣는 사람은 오해할 법합니다.	Someone hearing it for the first time could understandably misinterpret it.
6	V/A-(으)ㄹ 성싶다	it seems likely; I suspect	Literary or formal conjecture; normally less common than everyday inference constructions.	협상이 예상보다 오래 걸릴 성싶다.	The negotiations seem likely to take longer than expected.	이번에는 결과가 다를 성싶어요.	I suspect the outcome will be different this time.
6	V/A-(으)ㄹ 듯 말 듯	almost; just on the verge of	A borderline or fluctuating perception, not a completed achievement.	멀리서 음악이 들릴 듯 말 듯 했어요.	Music was just barely audible in the distance.	기억이 날 듯 말 듯 해서 답답했어요.	It was frustrating because I could almost remember it.
6	V/A-(으)ㄴ/는 바	the fact / matter that; as stated	Formal bound-noun reference; distinguish it from the immediate-discovery connective with similar spelling.	앞서 설명한 바와 같이 절차를 바꿨습니다.	As explained earlier, we changed the procedure.	현재까지 확인된 바는 없습니다.	Nothing has been confirmed so far.
6	V/A-(으)ㄴ/는바	since; having established; formal background	A connective written attached to the predicate, unlike the bound noun meaning matter or fact.	자료를 검토한바 추가 조사가 필요합니다.	Having reviewed the data, we find that further investigation is necessary.	본 사안은 공익과 관련되는바 신중한 판단이 요구됩니다.	Since this matter concerns the public interest, careful judgment is required.
6	V/A-(으)ㄴ/는 데 반해	in contrast to; whereas	Formal contrast; the bound noun here is spaced separately from the predicate modifier.	수요가 늘어나는 데 반해 공급은 줄고 있습니다.	Demand is increasing, whereas supply is decreasing.	목표는 분명한 데 반해 실행 계획은 모호합니다.	The goal is clear, whereas the implementation plan is vague.
6	N(으)로 말미암아	as a consequence of N; owing to N	Formal cause, often describing a substantial consequence; avoid redundancy with another causal marker.	기상 악화로 말미암아 운항이 중단되었습니다.	Operations were suspended owing to worsening weather.	그 결정으로 말미암아 여러 문제가 생겼습니다.	Several problems arose as a consequence of that decision.
6	N을/를 막론하고	regardless of N; irrespective of N	Generalizes across a named distinction; check that an inclusive claim is actually justified.	나이를 막론하고 누구나 배울 수 있습니다.	Anyone can learn, regardless of age.	분야를 막론하고 정확한 정보가 중요합니다.	Accurate information matters regardless of the field.
6	N에 입각하여	based on N; in accordance with a principle	Formal grounding in rules or principles rather than casual reliance on a source.	증거에 입각하여 판단해야 합니다.	We must judge on the basis of evidence.	공정성의 원칙에 입각하여 절차를 설계했습니다.	We designed the procedure based on the principle of fairness.
6	V/A-다고 해서 반드시 ... 것은 아니다	not necessarily true merely because	A scoped rebuttal that rejects a universal inference without asserting the opposite universally.	자료가 많다고 해서 반드시 결론이 정확한 것은 아닙니다.	Having much data does not necessarily mean the conclusion is accurate.	오래 일했다고 해서 반드시 성과가 좋은 것은 아니에요.	Working for a long time does not necessarily mean the results are good.
6	V/A-느냐 / -(으)냐에 달려 있다	depend on whether / how; embedded question	Select the interrogative form for predicate type; the clause names the determining factor.	성공 여부는 얼마나 꾸준히 실천하느냐에 달려 있습니다.	Success depends on how consistently one puts it into practice.	해석은 어떤 맥락에서 사용되느냐에 달려 있어요.	The interpretation depends on the context in which it is used.
6	V/A-다고 단정할 수 없다	cannot conclude categorically that	Calibrates epistemic certainty; follow with the specific missing evidence or alternative explanation.	이 결과만으로 효과가 없다고 단정할 수 없습니다.	We cannot conclude from this result alone that there is no effect.	한 번의 실수로 능력이 부족하다고 단정할 수는 없어요.	We cannot conclude from one mistake that someone lacks ability.
6	V/A-(으)ㄴ/는 것은 ... 때문이다	the reason / explanation for X is Y	A focus construction for explicit causal argument; avoid claiming causation when the evidence shows only association.	참여가 늘어난 것은 절차가 간단해졌기 때문입니다.	Participation increased because the procedure became simpler.	판단을 보류하는 것은 자료가 충분하지 않기 때문입니다.	The reason we are withholding judgment is that the data are insufficient.
