# Original AI-authored teaching material, not an official grammar list. Human review required.
# level|pattern|english|note|example target 1|example English 1|example target 2|example English 2
7-9|基于…|based on an explicit foundation|Identify an evidential or conceptual basis; distinguish correlation from causal proof.|这个判断基于现有证据。|This judgment is based on the available evidence.|我们基于共同目标展开合作。|We began cooperating on the basis of shared goals.
7-9|本着…的原则|in accordance with a guiding principle|Use for a declared policy or intention, not automatic evidence of compliance.|我们本着公平的原则分配资源。|We allocate resources according to the principle of fairness.|双方本着互相尊重的原则进行协商。|The two sides negotiate on the principle of mutual respect.
7-9|在…的前提下|under the prerequisite that|Make the condition for a claim or permission explicit.|在保证质量的前提下，可以缩短时间。|The time may be shortened provided quality is assured.|在获得同意的前提下，我们才会使用这些资料。|We will use these materials only after consent is obtained.
7-9|以…为前提|take something as a prerequisite|A requirement is not evidence that it has already been satisfied.|合作以互相信任为前提。|Cooperation presupposes mutual trust.|讨论以事实为前提。|The discussion must be grounded in facts.
7-9|与…相较 / 相比之下|compared with something / by contrast|Keep the populations, units and baseline comparable.|与去年相较，今年的成本较低。|Compared with last year, costs are lower this year.|第一种方案成本高，相比之下，第二种更可行。|The first proposal is costly; by contrast, the second is more feasible.
7-9|并非…而是…|it is not the case that one explanation holds, but rather another|Formal corrective contrast requires evidence for the replacement interpretation.|这并非偶然，而是长期积累的结果。|This is not accidental but the result of long-term accumulation.|争论并非关于目标，而是关于方法。|The dispute concerns not the goal but the method.
7-9|与其将…归因于…不如…|rather than attribute something to one cause, better to another|Compare causal accounts without presenting speculation as fact.|与其将变化归因于运气，不如考察具体条件。|Rather than attribute the change to luck, it is better to examine the specific conditions.|与其将失败归因于个人，不如分析制度问题。|Rather than attribute the failure to an individual, it is better to analyze systemic problems.
7-9|诚然…然而…|it is true that one point holds; nevertheless|Acknowledge a serious counterargument before responding.|诚然，样本不大，然而结果仍值得关注。|Admittedly the sample is small, but the results still deserve attention.|诚然，改革有成本，然而停滞也有代价。|It is true that reform has costs, yet stagnation also has a price.
7-9|纵然…亦…|even if a condition holds, still|A literary concession; retain its formal register in interpretation.|纵然困难重重，亦不应放弃沟通。|Even if difficulties abound, communication should not be abandoned.|纵然意见不同，亦可相互尊重。|Even when opinions differ, mutual respect remains possible.
7-9|倘使…则…|if a hypothetical condition holds, then|A formal hypothetical argument; state assumptions explicitly.|倘使数据可靠，则这一解释更有说服力。|If the data are reliable, this explanation is more persuasive.|倘使需求继续上升，则需要增加供给。|If demand continues to rise, supply must be increased.
7-9|若非…岂能…|if not for something, how could a result be possible?|A literary counterfactual rhetorical question strongly credits a prerequisite.|若非长期努力，岂能取得这样的进展？|Without sustained effort, how could such progress have been achieved?|若非亲眼所见，岂能相信？|Without seeing it firsthand, how could one believe it?
7-9|无论…抑或…均…|whether one alternative or another, in either case|A formal universal structure; the quantifier must cover the full alternative set.|无论个人抑或机构，均须遵守规定。|Individuals and institutions alike must comply with the rules.|无论线上抑或线下，均可提交申请。|Applications may be submitted either online or in person.
7-9|唯有…方能…|only through a necessary condition can something occur|Formal necessary-condition reasoning; do not confuse with a sufficient guarantee.|唯有充分协商，方能形成共识。|Only through thorough consultation can consensus be reached.|唯有核实事实，方能作出可靠判断。|Only by verifying facts can a reliable judgment be made.
7-9|不仅在于…更在于…|lies not only in one aspect but more importantly in another|Foreground a hierarchy of reasons rather than simple addition.|价值不仅在于结果，更在于过程。|The value lies not only in the result but, more importantly, in the process.|挑战不仅在于技术，更在于协调。|The challenge lies not only in technology but, more importantly, in coordination.
7-9|之于…|in relation to; for|A concise literary relation marker often occurs with abstract nouns.|语言之于文化，如同桥梁之于交流。|Language relates to culture as a bridge relates to communication.|这项研究之于实践，意义重大。|This research is highly significant for practice.
7-9|所…者|that which; the person or thing that|A literary nominalization; use sparingly in ordinary speech.|我们所重视者，是证据而非声望。|What we value is evidence, not prestige.|他所追求者，并非个人利益。|What he seeks is not personal gain.
7-9|为…所…|be subjected to an action by an agent|A formal passive; identify the agent and avoid forcing it onto every English passive.|这一观点为多数研究者所接受。|This view is accepted by most researchers.|他的贡献为人们所铭记。|His contribution is remembered by people.
7-9|有待 + verb|remain to be done|Marks unresolved work; it does not mean that completion is inevitable.|这一结论有待进一步验证。|This conclusion remains to be verified further.|具体细节有待双方协商。|The specific details remain to be negotiated by both sides.
7-9|尚不足以…|is not yet sufficient to support or cause something|Separate absence of sufficient evidence from evidence of absence.|现有证据尚不足以支持这一说法。|The current evidence is not yet sufficient to support this claim.|一次成功尚不足以证明方法可靠。|One success is not enough to establish that the method is reliable.
7-9|未可一概而论|cannot be generalized across all cases|Limit generalization; follow with relevant distinctions rather than empty caution.|各地条件不同，未可一概而论。|Local conditions differ, so no blanket generalization can be made.|这些案例背景各异，未可一概而论。|These cases have different backgrounds and cannot all be treated alike.
7-9|不无 + abstract noun|not without; having some degree of|A restrained double negative often qualifies praise or concern.|这种担心不无道理。|This concern is not without reason.|他的建议不无启发。|His suggestion offers some insight.
7-9|不乏…|there is no lack of; there are quite a few|A formal positive quantity expression; it does not mean all members.|相关研究中不乏反例。|There is no shortage of counterexamples in the relevant research.|这个团队不乏有经验的人。|This team has quite a few experienced people.
7-9|莫不…|there is none that does not; all|Literary universal affirmation; use only when the universal scope is justified.|在场者莫不赞同这一建议。|Everyone present agreed with this suggestion.|读过此信的人莫不感动。|Everyone who read this letter was moved.
7-9|难能可贵的是…|what is especially commendable is|An evaluative frame selects a rare or difficult positive quality.|难能可贵的是，他愿意承认错误。|What is especially commendable is his willingness to admit mistakes.|难能可贵的是，双方始终保持对话。|What is especially commendable is that both sides maintained dialogue throughout.
7-9|毋庸置疑的是…|what is beyond doubt is|A strong epistemic claim needs evidence and is inappropriate for disputed speculation.|毋庸置疑的是，文件已经签署。|What is beyond doubt is that the document has been signed.|毋庸置疑的是，这两组数字并不相同。|What is beyond doubt is that these two sets of numbers are not identical.
7-9|不言而喻…|it goes without saying; self-evidently|A rhetorical claim of obviousness; examine whether the audience actually shares the premise.|保护个人信息的重要性不言而喻。|The importance of protecting personal information goes without saying.|对初学者来说，清晰示范的价值不言而喻。|For beginners, the value of a clear demonstration is self-evident.
7-9|姑且…|for the moment; provisionally|Temporarily set a question aside or adopt an assumption without endorsing it.|我们姑且接受这个假设。|Let us accept this hypothesis provisionally.|细节姑且不谈，先看总体方向。|Let us set aside the details for now and look at the overall direction.
7-9|暂且不论…单就…|leaving one matter aside, considering only another|Scope an argument explicitly; the excluded dimension may still matter later.|暂且不论费用，单就时间而言也很困难。|Leaving cost aside, it is difficult even just in terms of time.|暂且不论动机，单就结果来看并不理想。|Leaving motives aside, the result alone is unsatisfactory.
7-9|进而…|go on to a further stage or consequence|Use for a logical or procedural progression rather than arbitrary chronological nextness.|先分析原因，进而提出建议。|First analyze the causes, then go on to propose recommendations.|理解差异，进而改善沟通。|Understand the differences and thereby improve communication.
7-9|从而…|thereby; consequently enabling a result|Connect a means or prior change with a logical consequence.|流程简化了，从而节省了时间。|The process was simplified, thereby saving time.|双方共享信息，从而减少误解。|The two sides share information, thereby reducing misunderstandings.
7-9|反之…|conversely; if the opposite holds|Specify which condition is reversed; a converse does not follow automatically in logic.|信息充分，判断就容易；反之，则更困难。|With sufficient information, judgment is easier; otherwise, it is more difficult.|条件成熟，可以推广；反之，应继续试验。|If conditions are ready, it can be expanded; otherwise, trials should continue.
7-9|综上所述…|to summarize the preceding argument|Synthesize evidence already presented; do not introduce a new unsupported conclusion.|综上所述，这一方案仍需完善。|In summary, this proposal still needs improvement.|综上所述，两种解释各有局限。|In summary, both explanations have limitations.
7-9|换言之…|in other words|Reformulate faithfully; do not strengthen the original claim during paraphrase.|结果尚不确定，换言之，我们需要更多数据。|The outcome remains uncertain; in other words, we need more data.|这只是建议，换言之，并非强制要求。|This is only a suggestion; in other words, it is not a mandatory requirement.
7-9|其…并不意味着…|a property does not imply a further claim|Track the antecedent of the formal pronoun and distinguish implication from association.|其规模较大，并不意味着效率较高。|Its larger scale does not imply greater efficiency.|其结果一致，并不意味着方法相同。|Their consistent results do not imply that their methods are the same.
